idx,label,sentence
1,0,oh no! so sorry about your pets..
2,1,you should! i love prison break.i only have till ep 5   .
3,1,i saw some really nice pair of shoess.. couldnt afford em
4,0,hihihi i had fun but my foot is still hurting!  it's killing me
5,0,sourish limbs is preventing me from gg out on a friday. not happy. i haven't been on at 12am for a long time...even more so on a fri
6,0,"aw, i was looking forward to a fight. especially if it's muddy.  i know i'll lose, but what a way to"
7,0,looking for excuses to not work. running out of them.....
8,1,just painted my nails. soo cute! i cant help but feel so much better after a manicure
9,1,band audition for opening mechfest 2016 | 27 nov 2016 | fast studio
10,0,at home  i wish boogie bear was with me. i love you baby girl
11,0,robert pattinson  is ugly and you're hot. there's a difference. going back to bed nani woke me up.
12,0,the ghost for me!sick mornings
13,1,western vintage gold native feather bull ox horn buffalo skull rodeo belt buckle
14,0,the only thing that is worse than being ill is waiting at the dr's
15,1,i am so happy for mark martin!  great race!
16,1,home with kristys parents! sitting in my room with shy waiting to get in the shower so i can wash my
17,1,i hope it will help out!  he's such a sweet boy though...i promise you...u will never forget him.
18,0,i'm sorry.  i pluck hair/rip people's heads when i get pissed.
19,0,aww so u feel my pain huh  i mean i came back up but it's all dunks &amp; forces now &amp; some 1s
20,1,just saw a bus that looks like the one in lost on the islaand!! laying out by the pool
21,1,why telstra why do you are biggest teleco have to be so greedy  we need fast internet and no downloa
22,0,just got done posting a new blog entry:  going to watch john &amp; kate +8 on dvr then go 2 sleep
23,1,ed cross activity charity project  nannpleasevisitphilippinescredit to @nann_fc
24,0,how do we get the login codes? unable to check your site
25,0,just got back from boro livee   who went?  it was good like wasn'nt it?
26,0,just left olive garden and now we're stuck in traffic
27,0,"that is no good at all! although i must admit, i'm running out as well. one bottle and a glass left"
28,1,"ghost dog - the way of the samurai by forest whitaker, henry silva, john tormey  """
29,0,why do you say that about 1976- it's not all it's cracked up to be!
30,1,happy birthday -  i know what you mean - same thing happened to me
31,0,"i will be soooo glad when we have a break in soccer, but if kiddo doesn't make the team, we will hav"
32,1,"a tricky tracky w/ aunt julie &amp; family! fun fun, yay! """
33,1,feeling the same way...nobody will come out drinking
34,0,mmmmh...no!  i don't feel like it ;)
35,1,thanks for interviewing me!   here is the interview:
36,1,"i know! it took a lot of googling, but i managed to make it work! """
37,0,aww . skul tomorrow bunch of school works
38,0,got to spend my morning in the er.  my cat cut my eyelid with his back claw.  had to get a tetanus s
39,1,a beautiful baby boy joined my wife and i today. 7lbs 4oz. all recovering well.
40,0,"did you check with the hotel concierge? they probably have someone on call, too."""
41,1,anything u need to know regarding news of the day
42,0,love the clematis. we have only one or two flowers left
43,1,on my way back from amelia island! i wanted to stay with everyone  boooo on school! two thumbs down!
44,0,ead! samsung galaxy note 5 sm-n920p - white pearl unlocked- parts no power
45,0,just searching for some diy tuts!!
46,0,"this spinnerette record is the devil, bought it on itunes and amazon.de  i fucking love brody dalle!"
47,1,boyfriend thinks im too freaking skinny
48,0,thanks  i hope so. it has novelty value right now which is keeping me going. if i lose some weight t
49,1,grateful for therapists with training in #ptsd who work with #trauma survivors
50,1,update: lidl takes action against travellers 'occupying' old porcupine pub site in
51,0,off to liverpool tattoo convention. hoping to find a decent artist for my next tattoo.
52,1,o that was very rude. i offered to straighten your hair. i think the price you'dve paid would be ver
53,1,"i know, you're so wise """
54,1,"nope, none of them, sorry  have you got the plane or the train?"""
55,0,up since 6am.. ive got uni tonight nd my mates bday party on saturday.. yey
56,0,hacienda heights international celebration of building global citizens of
57,1,just witnessed chelsea winning the cup. o well that sucks
58,0,was playing go on my iphone against a guy in mongolia and my wifi dropped.    i think i was winning.
59,0,okay!  yay wedding gifts! i want an engagement ring though... you gots a twisty tie?
60,1,boooooo... my tubing trip to harper's ferry got rained out  now what am i supposed to do with my sat
61,1,i didn't like coffee until my mid-20s... after a gracious host 'forced' it on me. she 4eva regretted
62,1,"adding first level of polish to walk cycle. should be finished soon hopefully, as render time is goi"
63,1,just love a bit of star trek in the mornin
64,0,i can't focus in this weather.
65,0,i can't get office 2007 to work on my windows 7 machine. the entire computer freezes about 30 secs a
66,0,9 days to see you in  buenos aires
67,1,he art of machine learning in the process of recruitment
68,0,wiebe watch! anyone see the king of kong??  watch steve try to break the record live!
69,0,"despite the fact that i'm bummed about missing e3, i'm actually glad i'm not in la with this sunburn"
70,1,"my kids are taking me to &quot;sweetiepie&quot;, a dessert heaven for mother's day. can't wait to ha"
71,0,"tonight was soooo good,realy one of the best parties !! """
72,1,few the posy have arrived.. bedroom here i come.
73,1,want to work at standard chartered bank? we're #hiring in #petalingjaya! click for details:
74,0,"burlesk! showers tonight at 8pm at artistika, 523 elm st. gso... only $8 in the door """
75,1,"aaah, so tired  eyes burn and make ouchies."""
76,0,very bummed  -   my favorite venue of all time.  glad that it was at 7 am though.
77,0,i just wish i would stick to weekends sometimes. my cold is worse btw.
78,1,"new artwork for sale! - """"glissen at river bends park"""" -  @fineartamerica """
79,1,what's wrong with this picture
80,1,going to dollywood with @brittanyfrazier and ally
81,0,flippin threw the channels ah late nite tv...wtfs on..gonna get a coke...thirsty!
82,1,had a great time at relay for life  good night!
83,0,kimgarst: 15 tops #facebook tools for marketers:
84,1,im tired...still confused..but dealin....at work..trying to get crap done..but not doin' so well...w
85,0,"i fully expected the #nbn fibre to go above ground here, right next to my existing power and phone.."
86,0,"is it assholeish of me to want to sit out infront of my house and play guitar, cause i feel like it"
87,1,david booth @uq_news - incubation temp affects sea #turtle hatchling quality #wch8
88,1,hah. i figured anyone who enjoys a curry as much as me must be ok.
89,0,when u spend five hours learning about jackets at work
90,1,not unless you choose to not show your work on the web
91,0,"indeed, bug  we'll have a blast! """
92,0,you look gorgeous! love the dress and you hair
93,1,find a man who will look at you like how james looks at nadine
94,1,"hey dude, june i think! """
95,1,kristen is baking chocolate chip cookies &amp; i am patiently watching her do it. she makes them wit
96,0,yeah she is a little thick there! yes you will see me saturday. i hope the sun comes out
97,0,nappin' b4 round 2 of work
98,0,"the has gone  walking home, been on the park with lorna."""
99,1,it sounds good.. but keila brought me some foods!! mexican pile on stuff and enchiladas. annnd a coo
100,0,and i love the way kevin acts
101,1,sorry haaha  ithought i still had photos of me on there so i was mistaken
102,0,doesn't want the sunshine to go away
103,1,aww mamas... i hope all is well. get some rest beautiful! muah! holla.
104,1,"thanks for calling me, even though i missed ur call  im fine though. and yea like every1 in seaford"
105,0,offer a chiropractor... my tailbone somehow managed to slip to the right side.  i'm just falling apa
106,0,"i don't know what to do! my 16mos. old climbs over every baby gate, crib, playpen we put him in and"
107,1,"morning. was helping mate in her garden yesterday &amp; now im feeling bit sore, cant even have a ba"
108,0,"tried to turn her profile pic green, but the app wouldn't work. """
109,1,will not be showing face in philly for a long time  sorry reeba
110,0,got a great background from @professorhazard now!
111,1,hahaha im bored -.-
113,0,"thanks for the prayers  &quot;talking to men for god is a great thing, but talking to god for men is"
114,0,sweet! 30 mins in and i've already sold more than last week
115,1,only one more cys concert left  tell me if you want tickets for next sunday!
116,0,"fail tweets: psychology exam tomorrow, haven't revised at all. like literally  this sucks im going.."
117,1,"burton hostile snowboard jacket - waterproof, insulated (for men)    #onsale """
118,0,pub work  lol please go yu no yu want to really haha
119,1,got to love it when the boss asks you to wait for him to come in and it's to tell you how great you
120,0,fathers day is coming up. i wish my dad were coming home for it  gotta wait until august to give him
121,1,made a large breakfast-for me. garlic rice w/scrambled eggs topped w/asiago cheese...yummy. but my r
122,0,"charles just thought i'd drop in and say hi, and whats up. to your continued online success. (presel"
123,1,insomnia? cnt sleep  and tomorrow is exam
124,0,"crap job #1 (ironing done), off the park with ellie now, if she stays awake that long """
125,1,"good morning tweeps!, it will be a fine day today right? """
