Processed Text,Original Scores,Class
rock destine st century new conan go make splash even great arnold schwarzenegger jeanclaud van damme steven segal,0.4681818181818182,1
gorgeously elaborate continuation lord rings trilogy huge column word adequately describe cowriterdirector peter jackson expand vision jrr tolkien middleearth,0.41111111111111115,1
effective tootepid biopic,0.6,2
sometimes like go movie fun wasabi good place start,0.5,1
emerge something rare issue movie honest keenly observe nt feel like one,0.44999999999999996,1
film provide great insight neurotic mindset comic_strip even reach absolute top game,0.275,1
offer rare combination entertainment education,0.3,1
perhaps picture ever make literally show road hell pave good intention,0.7,2
steer turn snappy screenplay curl edge clever want hate,-0.3166666666666667,-1
somehow pull,0.0,0
take care cat offer refreshingly different slice asian cinema,0.0,0
film well worth see talk singing head,0.3,1
really surprise wisegirl lowkey quality genuine tenderness,0.30000000000000004,1
lrb wendigo rrb go cinema fed eye heart mind,0.0,0
one great familyoriente fantasyadventure movie ever,0.8,2
ultimately ponder reason need story much,0.1,1
utterly compelling write reputation famous author ever live come question,0.31212121212121213,1
illuminate overly talky documentary,0.0,0
masterpiece four year make,0.0,0
movie ripe enrapture beauty tempt willing probe inscrutable mystery,0.25,1
offer breath fresh air true sophistication,0.32499999999999996,1
thoughtful provocative insistently humanize film,0.4,1
cast include top actor work independent film lovely amazing involve we incisive bleakly amusing go life,0.44000000000000006,1
disturb frighteningly evocative assembly imagery hypnotic music compose philip glass,-0.5,-1
everyone connect nice departure standard moviegoing fare,0.3,1
score point dedicated goodhearte professionalism,0.0,0
occasionally melodramatic also extremely effective,0.3,1
idealistic love story bring latent yearold romantic everyone,0.25,1
minute treasure planet maintain brisk pace race familiar story,0.375,1
however lack grandeur epic quality often associate stevenson tale well early disney effort,0.1,1
help lil bow wow tone pintsize gangsta act play someone resemble real kid,0.15000000000000002,1
guarantee move anyone ever shake rattle roll,0.0,0
masterful film master filmmaker unique deceptive grimness compelling fatalist worldview,0.5583333333333333,2
light cute forgettable,0.13333333333333333,1
way effectively teach kid danger drug think project like lrb unfortunately rrate rrb pay,0.04999999999999999,1
would easy give crush new title two wedding funeral far thoughtful film slice hugh grant whimsy,0.26742424242424245,1
though everything might literate smart never take always seem static,0.35714285714285715,1
cantet perfectly capture hotel lobby twolane highway roadside cafe permeate vincent day,1.0,2
ms fulfordwierzbicki almost spooky sulky calculate lolita turn,0.0,0
though mean good work laissezpasser distinguish distinctive effort bonafide master fascinating film replete reward willing make effort reap,0.334375,1
